,Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
129,130,Tajikistan,13,13,71,32,5.46,4
130,131,Gabon,11,11,42,0,3.82,2
131,132,Côte d’Ivoire,10,9,101,4,10.1,5
132,133,Panama,10,10,27,1,2.7,2
133,134,Papua New Guinea,8,8,12,4,1.5,2
134,135,Niger,8,8,76,2,9.5,4
135,136,Bhutan,8,8,36,0,4.5,2
136,137,Guatemala,8,8,6,0,0.75,1
137,138,Madagascar,7,7,87,1,12.43,3
138,139,Malawi,7,7,51,3,7.29,3
139,140,Barbados,7,7,14,3,2.0,3
140,141,Benin,7,7,8,1,1.14,2
141,142,Liechtenstein,6,6,38,0,6.33,2
142,143,Dominican Republic,6,6,9,0,1.5,2
143,144,Turkmenistan,6,6,12,0,2.0,2
144,145,Guinea,6,6,2,0,0.33,1
145,146,Namibia,6,6,14,1,2.33,2
146,147,Suriname,6,6,2,0,0.33,1
147,148,Rwanda,6,6,7,2,1.17,1
148,149,Lesotho,6,6,25,3,4.17,3
149,150,Sierra Leone,5,5,18,2,3.6,1
150,151,Swaziland,5,5,6,0,1.2,1
151,152,Eritrea,5,5,7,1,1.4,1
152,153,Kyrgyzstan,5,5,2,0,0.4,1
153,154,Cambodia,5,5,42,0,8.4,3
154,155,Guadeloupe,5,5,0,0,0.0,0
155,156,New Caledonia,4,4,6,0,1.5,2
156,157,Equatorial Guinea,4,4,19,0,4.75,2
157,158,Honduras,4,4,0,0,0.0,0
158,159,Faroe Islands,4,4,8,4,2.0,2
159,160,Djibouti,4,4,13,0,3.25,2
160,161,Netherlands Antilles,3,3,8,0,2.67,1
161,162,Greenland,3,3,49,0,16.33,2
162,163,Afghanistan,3,3,0,0,0.0,0
163,164,Cape Verde,3,3,5,0,1.67,1
164,165,French Guiana,3,3,1,1,0.33,1
165,166,Samoa,3,3,13,1,4.33,1
166,167,Cayman Islands,2,2,2,0,1.0,1
167,168,Andorra,2,2,13,0,6.5,1
168,169,Antigua and Barbuda,2,2,0,0,0.0,0
169,170,Haïti,2,2,4,1,2.0,1
170,171,Nauru,2,2,0,0,0.0,0
171,172,Seychelles,2,2,7,2,3.5,1
172,173,Mali,2,2,0,0,0.0,0
173,174,Bermuda,2,2,12,0,6.0,1
